[ 2026-09-01 20:29:40,926] 35 dotenv.main - WARNING - python-dotenv could not parse statement starting at line 9
[ 2026-09-01 20:29:53,047] 35 dotenv.main - WARNING - python-dotenv could not parse statement starting at line 9
[ 2026-09-01 20:29:53,653] 132 faiss.loader - INFO - Loading faiss with AVX2 support.
[ 2026-09-01 20:29:53,690] 137 faiss.loader - INFO - Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
[ 2026-09-01 20:29:53,690] 156 faiss.loader - INFO - Loading faiss.
[ 2026-09-01 20:30:04,345] 158 faiss.loader - INFO - Successfully loaded faiss.
[ 2026-09-01 20:30:04,426] 35 dotenv.main - WARNING - python-dotenv could not parse statement starting at line 9
[ 2026-09-01 21:30:14,026] 35 dotenv.main - WARNING - python-dotenv could not parse statement starting at line 9
[ 2026-09-01 21:30:14,031] 35 dotenv.main - WARNING - python-dotenv could not parse statement starting at line 9
[ 2026-09-01 21:30:14,034] 35 dotenv.main - WARNING - python-dotenv could not parse statement starting at line 9
[ 2026-09-01 21:33:03,177] 41 root - INFO - [INFO] 0jspaMLxBig : Extracted video id from url
[ 2026-09-01 21:33:03,179] 29 root - INFO - [INFO] 0jspaMLxBig : Vector store initialised for 0jspaMLxBig
[ 2026-09-01 21:33:03,277] 26 root - INFO - [INFO] Pickle file faiss_store\0jspaMLxBig\metadata.pkl loaded
[ 2026-09-01 21:33:03,277] 86 root - INFO - [INFO] 0jspaMLxBig : Faiss index and Metadata loaded
[ 2026-09-01 21:33:03,277] 56 root - INFO - [INFO] 0jspaMLxBig Existing vetorstore loaded for 0jspaMLxBig
[ 2026-09-01 21:33:13,446] 65 root - INFO - [INFO] 0jspaMLxBig OpenAI chat model initialised: gpt-4o-mini
[ 2026-09-01 21:33:13,505] 118 root - INFO - [INFO] Prompt with context and query loaded
[ 2026-09-01 21:33:17,477] 1025 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-09-01 21:33:17,536] 121 root - INFO - [INFO] Response generated by llm for the query: What was the pr..
[ 2026-09-01 21:33:27,927] 41 root - INFO - [INFO] 0jspaMLxBig : Extracted video id from url
[ 2026-09-01 21:33:27,928] 29 root - INFO - [INFO] 0jspaMLxBig : Vector store initialised for 0jspaMLxBig
[ 2026-09-01 21:33:28,034] 26 root - INFO - [INFO] Pickle file faiss_store\0jspaMLxBig\metadata.pkl loaded
[ 2026-09-01 21:33:28,034] 86 root - INFO - [INFO] 0jspaMLxBig : Faiss index and Metadata loaded
[ 2026-09-01 21:33:28,034] 56 root - INFO - [INFO] 0jspaMLxBig Existing vetorstore loaded for 0jspaMLxBig
[ 2026-09-01 21:33:28,037] 65 root - INFO - [INFO] 0jspaMLxBig OpenAI chat model initialised: gpt-4o-mini
[ 2026-09-01 21:33:28,112] 118 root - INFO - [INFO] Prompt with context and query loaded
[ 2026-09-01 21:33:31,668] 1025 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-09-01 21:33:31,689] 121 root - INFO - [INFO] Response generated by llm for the query: What was the pr..
[ 2026-09-01 21:33:31,738] 118 root - INFO - [INFO] Prompt with context and query loaded
[ 2026-09-01 21:33:33,145] 1025 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-09-01 21:33:33,172] 121 root - INFO - [INFO] Response generated by llm for the query: What was the 'f..
[ 2026-09-01 21:33:33,175] 118 root - INFO - [INFO] Prompt with context and query loaded
